Team,GW,PF,OYds,PCmp,PAtt,Cmp,Pyds,PTD,Int,P1stD,RAtt,Ryds,RTD,R1stD,Playoffs,Wseason,TO
Baltimore Ravens,14,531,6521,289,440,0.657,3225,37,8,171,596,3296,21,188,1,1,15
San Francisco 49ers,13,479,6097,331,478,0.692,3792,28,13,195,498,2305,23,110,1,1,23
New Orleans Saints,13,458,5982,418,581,0.719,4244,36,6,230,405,1738,12,97,1,1,8
Green Bay Packers,13,376,5528,356,573,0.621,3733,26,4,190,411,1795,18,90,1,1,13
Kansas City Chiefs,12,451,6067,378,576,0.656,4498,30,5,211,375,1569,16,93,1,1,15
New England Patriots,12,420,5664,378,620,0.610,3961,25,9,197,447,1703,17,110,1,1,15
Seattle Seahawks,11,405,5991,341,517,0.660,3791,31,6,190,481,2200,15,121,1,1,20
Houston Texans,10,378,5792,355,534,0.665,3783,27,14,203,434,2009,17,112,1,1,22
Minnesota Vikings,10,407,5656,319,466,0.685,3523,26,8,171,476,2133,19,106,1,1,20
Buffalo Bills,10,314,5283,299,513,0.583,3229,21,12,162,465,2054,13,120,1,1,19
Los Angeles Rams,9,394,5998,397,632,0.628,4499,22,17,222,401,1499,20,92,0,1,24
Tennessee Titans,9,402,5805,297,448,0.663,3582,29,8,177,445,2223,21,104,1,1,17
Philadelphia Eagles,9,385,5772,391,613,0.638,3833,27,8,215,454,1939,16,104,1,1,23
Dallas Cowboys,8,434,6904,388,597,0.650,4751,30,11,229,449,2153,18,120,0,1,18
Chicago Bears,8,280,4749,371,580,0.640,3291,20,12,178,395,1458,8,85,0,1,19
Pittsburgh Steelers,8,289,4428,315,510,0.618,2981,18,19,147,395,1447,7,75,0,1,30
Tampa Bay Buccaneers,7,458,6366,382,630,0.606,4845,33,30,244,409,1521,15,81,0,0,41
Atlanta Falcons,7,381,6075,459,684,0.671,4714,29,15,258,362,1361,10,84,0,0,25
Oakland Raiders,7,313,5819,367,523,0.702,3926,22,8,194,437,1893,13,104,0,0,17
Indianapolis Colts,7,361,5238,307,513,0.598,3108,22,10,165,471,2130,17,131,0,0,21
Denver Broncos,7,282,4777,312,504,0.619,3115,16,10,162,409,1662,11,77,0,0,16
New York Jets,7,276,4368,323,521,0.620,3111,19,16,162,383,1257,6,61,0,0,25
Jacksonville Jaguars,6,300,5468,364,589,0.618,3760,24,8,183,389,1708,3,85,0,0,20
Cleveland Browns,6,335,5455,318,539,0.590,3554,22,21,180,393,1901,15,90,0,0,28
Los Angeles Chargers,5,337,5879,394,597,0.660,4426,24,20,220,366,1453,12,90,0,0,31
Carolina Panthers,5,340,5469,382,633,0.603,3650,17,21,230,386,1819,20,82,0,0,35
Arizona Cardinals,5,361,5467,355,554,0.641,3477,20,12,176,396,1990,18,109,0,0,18
Miami Dolphins,5,306,4960,371,615,0.603,3804,22,18,210,349,1156,10,64,0,0,26
New York Giants,4,341,5416,376,607,0.619,3731,30,17,187,362,1685,11,89,0,0,33
Detroit Lions,3,341,5549,344,571,0.602,3900,28,15,196,407,1649,7,82,0,0,23
Washington Redskins,3,266,4395,298,479,0.622,2812,18,13,154,356,1583,9,74,0,0,21
Cincinnati Bengals,2,279,5169,356,616,0.578,3652,18,16,191,385,1517,9,85,0,0,30
